title,salary,company,posted,district,job_description,career level,company website,qualification,job type,years of experience
data analyst,salary,GS1 Hong Kong Limited,2022-12-06,Wan Chai,"Responsibilities:
Report to solution development / project manager.
Lead a small team in solutions development and services delivery including but not limited to data as a service, data management & analytics, workflow management & e-Form, digital & smart business / IoT solutions & services.
Perform business / technical requirements collection & definition, feasibility studies, system analysis & design, application implementation, quality assurance, documentation and other project activities necessary to accomplish project deliverables and milestones.
Understand the business / technical needs of customers / members in various sectors.
Study and implement new GS1 standards and technologies e.g. Blockchain, Internet of Things, Machine Learning, AI, etc.
Requirements:
Degree holder in Computer Science, Information Technology or related disciplines.
5+ years’ working experience in IT.
2+ years’ experience in system analysis and design.
2+ years’ experience in Web / Mobile & API development, BI / Data analytics as well as Cloud environment setup.
Familiar with agile methodology and related tools.
Demonstrate innovative and creative thinking capabilities and have sharp problem-solving skills.
Have a strong sense of quality and risk management. Able to work under pressure and attention to detail.
Good command of English and Chinese. Excellent written and spoken communication skills are essential.
Interested parties please send your application letter and resume with salary expected to HR Manager, GS1 Hong Kong, 22/F OTB Building, No.160 Gloucester Road, Wanchai or by clicking ""Apply Now"".   
(Personal data collected will be used for recruitment purpose only)",Middle,https://www.gs1hk.org/,Degree,"Full Time, Permanent",2
data analyst,salary,Resources Global Professionals (HK) Limited,2022-12-05,district,"About you

To support RGP's continuous growth, we have immediate openings in our Hong Kong practice for seasoned Data Analyst who are passionate in business consulting, innovative, result-driven, and people-oriented.

You are also
Looking for an opportunity to be part of a global management consulting firm
Available immediately or with short notice
Interested to take part in projects for our client with global presence
Your key responsibilities
Articulate the various data points, and supporting the data cleansing, data mapping, data validation and UAT for the setup and visualization tool
Support business liquidity analytics to drive the business forward
Understand data requirements including identification of data sources, supporting data mapping, data modelling and data validation activities, supporting the migration / Extract Transform and Load (“ETL”) requirements for the setup, and involvement in sundry matters as SME
Assess data needs and facilitate the acquisition of data from multiple sources
Perform data cleansing and pre-processing that facilitates meaningful analysis
Assist in the design, development and implementation of the overarching business intelligence dashboards, analytics and reports
Participate in requirements gathering workshops to help articulate the requirements for the dashboards and what metrics need to be reported
Research, identify, analyze and provide implementable recommendations of key business liquidity metrics / analytics
You know that you can do the job if you have…
Degree holder in IT, Computer Science, Statistics or related discipline
Minimum 5 years of relevant experience
Demonstrated experience in handling large data sets
Experience in data warehousing projects is an advantage
Exposure to programming languages such as SQL, Oracle and Python is an advantage
Strong understanding and working knowledge of SAP or similar ERP systems is an advantage
Experience working with Power BI or other data visualisation tools is preferred
With strong quantitative, mathematical and data analytical skills
RGP benefits and culture
Chance to work on-site with global clients and exposure to diversified client portfolios
Continuous learning and development
If the above sounds like an exciting role and you are ready for a career in consulting, we love to hear from you!


Equal Opportunity Employer

RGP is proud to be an Equal Opportunity Employer and committed to creating an inclusive environment for all employees.

We offer competitive compensation & benefits to the appropriate candidate. Interested parties, please forward your resume by pressing the APPLY button below. Data received will be for recruiting purposes only. 

Find out more about RGP and our solutions

www.rgp.com
Twitter: @RGP
Instagram: @lifeatrgp
Facebook: RGP",Middle,http://www.rgp.com,Degree,"Full Time, Permanent, Temporary, Contract, Freelance",5
data analyst,salary,AXA Hong Kong,2022-12-05,district,"Opportunities:
Join the Data Science team in one of the largest insurance companies in the world
You will collaborate with different business units to leverage the data we have in AXA and create high quality Data Science solutions which will have significant impacts to the company
Your technical data expertise will help on model advising and you will have great flexibility on implementing Data Science solution to various business problems
You will consistently engage with Head / C-level stakeholders directly on your innovative idea & Data Science solutions
Leverage and interact on regular basis with Group and Regional Data Science community to get the best practices on boarded for AXA HK
Flexible working pattern, e.g. 2-day work from home per week

Responsibilities:
Collaborate closely with different business units and communicate with them & other stakeholders about data concepts and projects with clarity
Develop advanced Data Science solutions by leveraging machine learning & deep learning techniques
Take charge of end-to-end Data Science project development
Drive improved business decision by leveraging different Data Science applications, e.g. predictive up/cross-sell modeling, predictive underwriting, customer and agent insights, document recognition, etc.
Develop & maintain various performance dashboards & reports

Qualification:
Bachelor's degree in Computer Science, Statistics, Actuarial, Mathematics, Physics, or similar subject, preferably with Master's degree
Strong communication skill, willing to collaborate with different parties
Deep understanding of Machine Learning concepts and algorithms (e.g. predictive modeling, clustering, Computer Vision, NLP, etc.)
Strong programming skills: Python (must), SQL (must), R
2+ years' experience as data scientist/engineer/analyst
Familiar with the visualization tools (e.g. Power BI, Tableau)
Experience in leading Data Science projects is a plus
Experience in insurance or financial services industry is a plus.
Experience in any cloud platform is a plus, e.g. Azure
Well-organized, problem solver & fast learner
Good team player
Good command of business English, both in written and spoken form",Middle,https://www.axa.com.hk,Degree,"Full Time, Permanent",2
it,salary,Ocean Park Corporation,2022-12-05,Southern,"Responsibilities• Responsible for the design of the enterprise Data and API integration architectural environment
• Develop or enhance enterprise data and integration platforms including data warehouse, data marts, data dictionary, BI dashboards and API integration platforms
• Perform database tuning and performance enhancement for enterprise Database (SQL Server, MySQL and others)
• Deliver solutions to enhance systems API integration functions and performance monitoring
• Maintain integration framework and standard for new systems implementation
Requirements• Degree holder in Computer Science or related disciplines
• At least 12 years of IT experience in data management and systems integration
• Hands on system integration, DBA, data warehouse and data analytics experience
• Strong knowledge in ETL, Tableau, Power PI, SAS and Big Data technologies would be an advantage
• Prior experience in multi-system integration, architecture design and cloud projects
• Strong analytical mind-set and problem-solving skill
• Excellent communication (English and Chinese) and presentation skills

Candidate with less experience will be considered as IT Data and Integration Specialist.",Senior,http://www.oceanpark.com.hk,Degree,"Full Time, Permanent",8
rpa specialist,salary,DSV,2022-12-05,Sha Tin,"Job Responsibilities:
Simulate internal customer's experience by developing robotic automation tools
Collaborate with IT and operations team to align system set-up with optimized business processes and ensure both business and technical suitability
Support development of Microsoft Power Platform
Any ad-hoc projects and duties as required
Develop process maps, flow diagrams and related documentation for redesigned/ implemented processes with RPA
Identify different operation processes and create automation tools to increase process efficiency
Provide technical advice on how operations teams streamline the operations through automation
Explore internal improvement opportunity via RPA or automation
Job Requirements:
Bachelor's degree in Business, Computer Science, IT or any related discipline
3-5 years of experience in automation development or project implementations
Learnt/working experience in programming languages is a plus (ie. UiPath, Python, JavaScript and etc.)
Knowledge/ experience in Microsoft Power Platform is a plus (e.g. Power Apps, Power Automate, etc)
Good communication skills in English
Flexibility to travel within APAC
Candidates with more experiences will be considered as Assistant Manager, RPA

An attractive remuneration package and excellent career prospect will be offered to the right candidates. Interested parties please send full resume with expected salary and availability by clicking ""Apply Now"" to submit your application.
Personal data collected will be kept and handled confidentially by authorized personnel for recruitment purpose only. Our company will retain the applications for a maximum period of 12 months after the selection process is finalized.",Middle,http://www.dsv.com,Degree,"Full Time, Permanent",3
it,salary,Ocean Park Corporation,2022-12-05,Southern,"Mainly Responsibilities:

• Report directly to the Head of IT
• Manage Cyber Security team and Data team

Cyber Security Team
• Formulate security policies and procedures
• Monitor security threat, anomalies detection and incident management
• Conduct security risk assessment for weaknesses and execute improvement plans
• Keep abreast of the latest security technology and solicit right solutions for the organization
• Coordinate with external and internal auditors on audit matters and follow up audit findings

Data Team
• Provide leadership of enterprise data strategy, architecture and system management
• Work closely with business partners, explore existing source systems and data structure to create blueprint for implementing an integrated framework to enable an easy access and secured data service environment
• Responsible for Date Warehouse, BI & Data Analytics platforms and API integration with application systems
• Implement data governance and data quality policy
Requirements
• Degree holder in Computer Science or related disciplines
• At least 15 years of IT experience with specialties in cyber security, data management and systems integration
• At least 5 years of managerial/leadership experience
• Technical knowledge in security and data management domain including network, OS, application, database (SQL Server, MySQL), VM and Cloud
• Hands on cyber security, governance, data warehouse and data analytic skills
• Qualification in cyber security program (e.g., CISA, CISM, CISSP)
• Strong analytical mind-set and problem-solving skills
• Excellent communication (English and Chinese) and presentation skills
Applications including details of qualifications, working experience, expected salary, contact telephone number and address should be applied via: http://careers.oceanpark.com.hk --> Job opening --> Full time/ Long-term.
Applicants not contacted within six weeks may consider their application unsuccessful. Personal data collected will be used for recruitment-related purpose only.",Senior,http://www.oceanpark.com.hk,Degree,"Full Time, Permanent",15
data scientist,salary,Dah Sing Financial Group,2022-12-02,district,"Job Description:
The incumbent will support the implementation of Data Analytics strategy in retail banking business to provide value-adding insights for increasing customer value through enhancing customer experience.
Main Responsibilities: 
Support to implement the data analytics projects including the design and development of data analytic platform to manage customer value, analytics and modelling in the context of the customer life cycle marketing
Translate business problems into data science projects that can be resolved using analytical techniques and mathematical modeling
Help to plan and execute the development of analytical/machine learning solutions from initial design to model development, model validation, implementation, prototyping and testing
Collaborating with internal and external parties to drive business cases on providing the next best action to customers via omni-channel and deployment capability to achieve the business target

People Specifications
Qualifications:     
University graduate major in data science, statistics, quantitative analysis or related discipline
Experience:          -
With at least 3 years of relevant experience, banking and financial sector will be a plus
Experienced in predictive modelling, machine learning and advanced statistics solving business problems
Experience with A/B testing, testing & control framework to strive for product / customer experience
Good communication, time management and work organization skills
Special Skills:     
Proficient in SQL & Python for data management and analysis skill",Middle,http://www.dahsing.com.hk,Degree,"Full Time, Permanent",3
manager,salary,Experis,2022-12-05,district,"Job Responsibilities.
1. Data governance and enterprise-level data platform construction. Candidates should understand the data governance framework and participate in the implementation, operation and maintenance of enterprise-level data management platform, understand the data interaction between systems, centralized data management and sharing solutions, etc.
2. Maintain data platform and daily data operation and maintenance. Candidates should understand or have used mainstream data management systems and their common supporting functions, such as master data management, ETL/ELT, data mart and data analysis tools, etc.
3. Enterprise digital transformation construction. Candidates should understand the concept of enterprise digital transformation and project management model, have a certain understanding of the implementation method of digital transformation work, the mainstream tools and technical solutions involved, and have practical work experience in business analysis, business process reengineering and design, etc.
4. Coordinate the application development process, including application design, development, resource planning, testing, deployment and maintenance

Job Qualifications.
1. Bachelor's degree or above
2. 8-10 years of working experience
3. Familiar with data governance/data management, digital transformation, process re-engineering design, project management",Senior,http://www.manpowergroupgrc.hk,Postgraduate,Full Time,7
it,salary,Hongkong Land Group Limited,2022-12-05,Central and Western,"The Role
The Senior Digital Transformation & Innovation Analyst under the Enterprise Portfolio team supports the management of group-wide enterprise system and process optimization projects, balancing their fit-for-purpose locally as well as scalability at the group level. Each project is expected to be value-adding in the eyes of the stakeholders, with demonstrable return on investment, where possible.
Reporting to the Digital Transformation & Innovation Manager under the Enterprise Portfolio team, this role will also work in sync with the rest of the DTI team, enterprise teams (i.e., finance, legal and human resources), Enterprise IT team, CNP Digital team and external vendors.

Job Responsibilities
      Support the co-creation of the department’s digital transformation strategy and roadmap while also leading and owning product/system specific development strategy and roadmap (i.e., systems for accounting, finance, HR, etc.)
      Assist with the analysis of group and department specific and cross-functional business processes to identify and prioritise technology and process re-engineering opportunities to enhance operational and reporting efficiencies
      Conduct research on the latest in data & technology developments, and market & industry trends that can be applicable to Enterprise Systems and Real Estate
      Assist with the development of robust and cost-effective technical solutions against internal customers’ requirements
      Provide support to the administration and management from initial project scoping, business requirements definition and technical & financial feasibility studies and costing, to solution design and development, to rollout, implementation, maintenance, and enhancement
      Engage stakeholders (local and regional) to understand current business practice and problems, co-create business requirements and transform them into functional strategic solutions/deliverables
      Collaborate with internal and external technical solution partners to design and develop technical solutions
      Facilitate User Acceptance Testing plans including bugs/defects reporting, release plans and training programs
      Support system operations and writing of related policies and procedures, support help desk escalations
      Create workflows, work plans, schedules, and status reports; continuously monitor the progress and refine the process with internal and external teams by iterations with agility.
      Assist with the creation of clear, timely and relevant project/product related communications to ensure alignment of stakeholders, objectives, and overall transparency throughout the delivery lifecycle
      Ensure all processes and products developed adhere to HKL’s policies & procedures, audit requirements and applicable local regulations, e.g., code of conduct, personal privacy, etc.
      Perform other duties as assigned
Qualification & Experience
      Degree holder major in accounting, finance, information systems management or related disciplines
      Experience in accounting system implementation (e.g., HFM, CCH Tagetik, JDE, etc.), digitalisation, finance transformation projects is an advantage.
      CPA, CMA or CFA equivalent and experience in FP&A or management/financial reporting is an advantage
      Outgoing, driven, resilient, creative, responsible and a team player
      Passionate self-starter and learner with excellent time-management and organizational skills
      Robust analytical skills, data-driven with strong business acumen and problem-solving ability
      Solid ability to work with multiple internal and external stakeholders
      Strong interpersonal & communication skills
      Good written and verbal communication skills in English and Chinese (Cantonese & Mandarin)
What you need to do now
If you're interested in this role, click 'Apply Now'. Salary and benefits will be commensurate with qualifications and experience. For more information about Hongkong Land, please visit our website: http://www.hkland.com/
Information collected is for this recruitment and selection only. Applicants not hearing from us within four weeks from the date of advertisement may consider their applications unsuccessful. All documents and personal data of unsuccessful applicants will be destroyed once the post is filled.",Middle,http://www.hkland.com,Degree,"Full Time, Permanent",3
data analyst,"HK$30,000 - HK$45,000 /month",Grey Anderson Limited,2022-12-03,district,"Responsibilities:
Devise and develop data analytical models for translating raw data into actionable insights, trends and patterns that make impact to different business scenarios
Perform experiments on applying data mining, deep learning, machine learning algorithms to continuously optimize effects and performance, and enhance user experience
Perform data cleansing and validation for data consistency and accuracy
Efficiently use task management tools for tracking and execution of tasks
Requirements:
Degree holder in Mathematic, Statistics , IT or related discipline
3+ years of relevant experience in data science /analytics
Knowledge in Tableau and PowerBI 
Great problem-solving skills and interpersonal skills
Data-driven, logical, systematic, and organized
Active team player with can-do attitude",Senior,http://www.greyanderson.com,Degree,"Full Time, Permanent",8
